name,year,price,bodyPercent,Tanning,Sugar,Acidic,wine_image,compareFoods,rating,about_wine,Winery,Type,Grape_Type,Alcohol
95,"Domaine du Vieux Télégraphe
Châteauneuf-du-Pape (La Crau) 2020",2020,$101.99,82.4248%;,40.3363%;,8.72567%;,45.219%;,https://images.vivino.com/thumbs/HWS_S99uQfey2mkoAxqRrg_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.4,"[['Winery', 'Domaine du Vieux Télégraphe'], ['Grapes', '100% Garnacha'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '15%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork'], ['Wine description', 'Deep ruby with some purple nuances, this wine is medium to full-bodied and reveals notes of licorice, pepper, Asian spices, black cherry, raspberry, and currant, as well as a relatively big, sweet palate impression with moderate tannin in the finish.']]", Domaine du Vieux Télégraphe,red,"[' 100% Garnacha', ' ']", 15%
96,"Nicolas Champagneux
Les Grandes Places Côte Rôtie 2015",2015,$118.33,73.5034%;,62.9184%;,0px;,66.733%;,https://images.vivino.com/thumbs/7MRDj_9PQ16uVAnGIcr-eg_150x200.jpg,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.4,"[['Winery', 'Nicolas Champagneux'], ['Grapes', 'Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Allergens', 'Contains sulfites']]", Nicolas Champagneux,red,"[' Shiraz/Syrah', ' ']", Contains sulfites
97,"d'Arbousset
Lirac 2017",2017,$29.99,67.9049%;,50.8472%;,8.91341%;,56.1837%;,https://images.vivino.com/thumbs/RC5r7kImR-Kp4cqYPiVsUQ_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.4,"[['Winery', ""d'Arbousset""], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre, Cinsault'], ['France', 'Rhone Valley', 'Southern Rhône', 'Lirac'], ['Wine style', 'Southern Rhône Red'], ['Allergens', 'Contains sulfites']]"," ""dArbousset""",red,"[' Shiraz/Syrah', ' Grenache', ' Mourvedre', ' Cinsault', ' ']", Contains sulfites
98,"Domaine Garon
Lancement Côte-Rôtie 2016",2016,$166.99,67.3511%;,63.6513%;,7.80573%;,66.2548%;,https://images.vivino.com/thumbs/Fs0eg15ZSFiGwlaUcqpc1Q_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.4,"[['Winery', 'Domaine Garon'], ['Grapes', 'Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Allergens', 'Contains sulfites'], ['Wine description', 'The dark red robe. Has a really pure, beau nose that gives great finesse of black cherry fruit. It is tenderly presented, is a real winner, very bonny, comes with a little sweetness and a hum of florality. There is an elegant run of fruit along the palate, with tannins fitting in well, glove-like, after the mid-point. It ends on a tasty roundness, and the palate also develops quiet weight']]", Domaine Garon,red,"[' Shiraz/Syrah', ' ']", Contains sulfites
99,"Rotem & Mounir Saouma
Omnia Châteauneuf-du-Pape 2017",2017,$149.99,78.2383%;,39.6449%;,8.45092%;,45.4603%;,https://images.vivino.com/thumbs/dLkYWHWhRLaJIja23ZxSJw_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.4,"[['Winery', 'Rotem & Mounir Saouma'], ['Grapes', 'Grenache, Mourvedre, Shiraz/Syrah'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites']]", Rotem & Mounir Saouma,red,"[' Grenache', ' Mourvedre', ' Shiraz/Syrah', ' ']", 14.5%
100,"Domaine du Vieux Lazaret
Cuvée Exceptionnelle Châteauneuf-du-Pape 2016",2016,$174.99,84.8211%;,38.4035%;,12.4306%;,43.2552%;,https://images.vivino.com/thumbs/fMPgNPKnSHShrGzhp0wSOQ_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.4,"[['Winery', 'Domaine du Vieux Lazaret'], ['Grapes', 'Grenache, Mourvedre, Shiraz/Syrah'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Allergens', 'Contains sulfites']]", Domaine du Vieux Lazaret,red,"[' Grenache', ' Mourvedre', ' Shiraz/Syrah', ' ']", Contains sulfites
101,"Château de Beaucastel
Châteauneuf-du-Pape 2006",2006,$199.99,83.2174%;,39.8547%;,10.6892%;,45.0798%;,https://images.vivino.com/thumbs/MvUpIVUSRVazthpnz34JLQ_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.4,"[['Winery', 'Château de Beaucastel'], ['Grapes', '100% Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'A stunning example of this Southern Rhône blend with a smooth, earthy nose velvety texture and fruit-forward style; lovely, generous ripe black raspberry fruit and an exquisite finish.']]", Château de Beaucastel,red,"[' 100% Grenache', ' ']", 13.5%
102,"Jean-Luc Colombo
Syrah Cornas La Louvée 2013",2013,$122.67,75.0205%;,47.2005%;,5.15082%;,54.3777%;,https://images.vivino.com/thumbs/0Gxq76vsRfSe_xihIss4QA_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.4,"[['Winery', 'Jean-Luc Colombo'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Cornas'], ['Wine style', 'Northern Rhône Cornas'], ['Allergens', 'Contains sulfites'], ['Wine description', 'La Louvée evolves as a delicate and elegant wine with aromas of raspberry, blueberry, violets and chocolate, ginger-bread notes ending by a distinct minerality.']]", Jean-Luc Colombo,red,"[' 100% Shiraz/Syrah', ' ']", Contains sulfites
103,"Château de Saint Cosme
Gigondas Le Poste 2021",2021,$175.99,62.5517%;,51.3938%;,16.3194%;,56.8169%;,https://images.vivino.com/thumbs/ZtZVM_WJREqjPQjpMhdT_w_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.4,"[['Winery', 'Château de Saint Cosme'], ['Grapes', 'Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Gigondas'], ['Wine style', 'Southern Rhône Red'], ['Alcohol content', '15.9%'], ['Allergens', 'Contains sulfites']]", Château de Saint Cosme,red,"[' Grenache', ' ']", 15.9%
104,"Rotem & Mounir Saouma
Arioso Châteauneuf-du-Pape 2017",2017,$249.99,75.4475%;,39.1928%;,17.6076%;,48.3246%;,https://images.vivino.com/thumbs/FGj28BFeTWWKatc7xeZeLw_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.4,"[['Winery', 'Rotem & Mounir Saouma'], ['Grapes', '100% Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites']]", Rotem & Mounir Saouma,red,"[' 100% Grenache', ' ']", 14%
105,"Nicolas Champagneux
Les Grandes Places Côte Rôtie 2016",2016,$118.33,73.5034%;,62.9184%;,0px;,66.733%;,https://images.vivino.com/thumbs/Ko6WlNpKS-yBNOFYfbKQEg_150x200.jpg,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.4,"[['Winery', 'Nicolas Champagneux'], ['Grapes', 'Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Allergens', 'Contains sulfites']]", Nicolas Champagneux,red,"[' Shiraz/Syrah', ' ']", Contains sulfites
106,"Domaine de la Solitude - Famille Lancon
Châteauneuf-du-Pape Cuvée Barberini 2016",2016,$104.99,85%;,39.0621%;,17.1404%;,43.2967%;,https://images.vivino.com/thumbs/9qZ1dkM6ThyVLUARhMvp8A_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.4,"[['Winery', 'Domaine de la Solitude - Famille Lancon'], ['Grapes', 'Shiraz/Syrah, Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'It has delicate nose, mingling aromas of blackberry, violet, cedar and milk chocolate. Mouth, velvety, gives pride to licorice, mocha and strawberries, chocolate with a lingering finish. This wine will keep well, about 20 years, but it can also be drunk in his youth.']]", Domaine de la Solitude - Famille Lancon,red,"[' Shiraz/Syrah', ' Mourvedre', ' ']", 13%
107,"Rotem & Mounir Saouma
Arioso Châteauneuf-du-Pape 2020",2020,$229.99,75.4475%;,39.1928%;,17.6076%;,48.3246%;,https://images.vivino.com/thumbs/FGj28BFeTWWKatc7xeZeLw_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.4,"[['Winery', 'Rotem & Mounir Saouma'], ['Grapes', 'Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Allergens', 'Contains sulfites']]", Rotem & Mounir Saouma,red,"[' Grenache', ' ']", Contains sulfites
108,"Château de la Font du Loup
Chateauneuf-du-Pape Rouge 2020",2020,$69.99,81.5186%;,39.7631%;,6.94953%;,46.7445%;,https://images.vivino.com/thumbs/MfKrAJpOR_WLt4HtBFAiPQ_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.4,"[['Winery', 'Château de la Font du Loup'], ['Grapes', '60% Grenache, 20% Mourvedre, 15% Shiraz/Syrah, 5% Cinsault'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Allergens', 'Contains sulfites']]", Château de la Font du Loup,red,"[' 60% Grenache', ' 20% Mourvedre', ' 15% Shiraz/Syrah', ' 5% Cinsault', ' ']", Contains sulfites
109,"Domaine Garon
Lancement Côte-Rôtie 2013",2013,$136.99,67.3511%;,63.6513%;,7.80573%;,66.2548%;,https://images.vivino.com/thumbs/Fs0eg15ZSFiGwlaUcqpc1Q_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.4,"[['Winery', 'Domaine Garon'], ['Grapes', 'Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Allergens', 'Contains sulfites'], ['Wine description', 'The dark red robe. Has a really pure, beau nose that gives great finesse of black cherry fruit. It is tenderly presented, is a real winner, very bonny, comes with a little sweetness and a hum of florality. There is an elegant run of fruit along the palate, with tannins fitting in well, glove-like, after the mid-point. It ends on a tasty roundness, and the palate also develops quiet weight']]", Domaine Garon,red,"[' Shiraz/Syrah', ' ']", Contains sulfites
110,"Jean-Michel Gerin
Les Grandes Places Côte-Rôtie 2019",2019,$192,73.1031%;,63.6177%;,17.1175%;,63.7115%;,https://images.vivino.com/thumbs/EqmsImpjQMiAfyrifbMzyw_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.4,"[['Winery', 'Jean-Michel Gerin'], ['Grapes', 'Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Alcohol content', '15%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Inky black in color with a powerful nose of bacon fat, smoke and', 'spice. Huge mouthfeel, a wine with power and sustainability.']]", Jean-Michel Gerin,red,"[' Shiraz/Syrah', ' ']", 15%
111,"Jean-Michel Gerin
Champin le Seigneur Côte-Rôtie 2017",2017,$80,70.1467%;,67.0028%;,6.40203%;,64.9755%;,https://images.vivino.com/thumbs/Y5GboIKJQxiFWZ76fG0Udg_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.4,"[['Winery', 'Jean-Michel Gerin'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites']]", Jean-Michel Gerin,red,"[' 100% Shiraz/Syrah', ' ']", 14%
112,"M. Chapoutier
Ermitage Le Méal 2011",2011,$659.17,82.9412%;,67.4531%;,14.5911%;,55.5257%;,https://images.vivino.com/thumbs/UTI-zd_BQuGbllQZx4X5-Q_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.4,"[['Winery', 'M. Chapoutier'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Hermitage'], ['Wine style', 'Northern Rhône Hermitage'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Colour: very deep red garnet with purple highlights in her youth. ', 'Nose: ripe fruit, smoked. ', 'Palate: powerful tannins, velvety blackberry jam']]", M. Chapoutier,red,"[' 100% Shiraz/Syrah', ' ']", Contains sulfites
113,"Domaine Brun Avril
Châteauneuf-du-Pape Rouge 2019",2019,$55,84.9386%;,39.5589%;,0.653793%;,45.1627%;,https://images.vivino.com/thumbs/aGixHNk-QBmFIN1UDnYlGA_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.4,"[['Winery', 'Domaine Brun Avril'], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Intense deep ruby robe. Nose of red berries such as blackcurrant, spicesof green pepper and cinnamon, on an undergrowth remanent base of fresh moss and bark, and a sharp angle of very refreshing bitter orange.']]", Domaine Brun Avril,red,"[' Shiraz/Syrah', ' Grenache', ' Mourvedre', ' ']", Contains sulfites
114,"Francois Villard
Côte-Rôtie Le Gallet Blanc 2017",2017,$80,74.9826%;,65.8136%;,6.67641%;,63.3228%;,https://images.vivino.com/thumbs/713wRjBtSh6W6lb35wcMeA_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.4,"[['Winery', 'Francois Villard'], ['Grapes', 'Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'It has super nice wine that is just starting to come around. Lots of smoke, dark cherries, black raspberries, earth and some vanilla bean on the nose. Silky, fresh, crisp, ripe, sweet red fruits carry all the way through.']]", Francois Villard,red,"[' Shiraz/Syrah', ' ']", 13.5%
115,"Clos du Mont-Olivet
Châteauneuf-du-Pape La Cuvée du Papet 2015",2015,$177.24,85%;,42.9088%;,17.1178%;,47.2335%;,https://images.vivino.com/thumbs/-kFENGJTTm-fd3L2Cw6ETg_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.3,"[['Winery', 'Clos du Mont-Olivet'], ['Grapes', 'Mourvedre, Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '15%'], ['Allergens', 'Contains sulfites']]", Clos du Mont-Olivet,red,"[' Mourvedre', ' Grenache', ' ']", 15%
116,"Domaine de Cristia
Châteauneuf-du-Pape Vieilles Vignes 2020",2020,$131.75,83.3359%;,39.6296%;,20.706%;,42.3198%;,https://images.vivino.com/thumbs/TnZhYLMhQ1G8cWJ0bCQ7Uw_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.3,"[['Winery', 'Domaine de Cristia'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '15%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Black and deep color with violet highlights. Deep black dress with hints of purple. Nose with roasted notes and aromas of ripe red fruits Roasted hints and very ripe red aromas Concentrated, powerful and explosive on notes of cherries, Very ripe black fruits and licorice', 'Concentrated, powerful and explosive mouth with hints of cherries, ripe. Black fruits and liquorice.']]", Domaine de Cristia,red,"[' 100% Shiraz/Syrah', ' ']", 15%
117,"Domaine de la Solitude - Famille Lancon
Châteauneuf-du-Pape Cuvée Barberini 2020",2020,$93.95,85%;,39.0621%;,17.1404%;,43.2967%;,https://images.vivino.com/thumbs/9qZ1dkM6ThyVLUARhMvp8A_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.3,"[['Winery', 'Domaine de la Solitude - Famille Lancon'], ['Grapes', 'Grenache, Mourvedre, Shiraz/Syrah'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '15%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'It has delicate nose, mingling aromas of blackberry, violet, cedar and milk chocolate. Mouth, velvety, gives pride to licorice, mocha and strawberries, chocolate with a lingering finish. This wine will keep well, about 20 years, but it can also be drunk in his youth.']]", Domaine de la Solitude - Famille Lancon,red,"[' Grenache', ' Mourvedre', ' Shiraz/Syrah', ' ']", 15%
118,"Château Mont-Redon
Le Plateau Châteauneuf-du-Pape 2017",2017,$244.76,80.0888%;,40.1521%;,7.30425%;,47.0465%;,https://images.vivino.com/thumbs/dKDeZOU5RmOz62U05qOY2g_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.3,"[['Winery', 'Château Mont-Redon'], ['Grapes', 'Shiraz/Syrah'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Allergens', 'Contains sulfites']]", Château Mont-Redon,red,"[' Shiraz/Syrah', ' ']", Contains sulfites
119,"Vignobles Mayard
La Crau de ma Mère Châteauneuf-du-Pape Rouge 2020",2020,$74.27,85%;,41.1242%;,10.4812%;,44.292%;,https://images.vivino.com/thumbs/ragZqL3WSMKCyzFODLkgBg_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.3,"[['Winery', 'Vignobles Mayard'], ['Grapes', 'Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '15.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Nose offers a complex range of flavors of blackberry, spices and animal notes. The palate is soft and generous with aromas of ripe red fruits, tannins and a chocolate finish.']]", Vignobles Mayard,red,"[' Grenache', ' ']", 15.5%
120,"Domaine Jean-Louis Chave
Hermitage Selection Farconnet 2020",2020,$98.60,85%;,69.0974%;,6.74481%;,55.4596%;,https://images.vivino.com/thumbs/UO09QoMZTXqkBQchZ3sdZg_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Domaine Jean-Louis Chave'], ['Grapes', 'Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Hermitage'], ['Wine style', 'Northern Rhône Hermitage'], ['Allergens', 'Contains sulfites']]", Domaine Jean-Louis Chave,red,"[' Shiraz/Syrah', ' ']", Contains sulfites
121,"Domaine La Barroche
Châteauneuf-du-Pape 2020",2020,$71.40,85%;,41.948%;,12.8143%;,43.6772%;,https://images.vivino.com/thumbs/HvdtIR6TQPyLGX9NEBc4GA_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.3,"[['Winery', 'Domaine La Barroche'], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre, Cinsault, Vaccareze'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Unique, elegant, silky and opulent wine that invariably expresses its distinctive qualities. It also shows great class thank to its deep colour, floral bouquet, freshness, cocoa flavours and delicate aftertaste.']]", Domaine La Barroche,red,"[' Shiraz/Syrah', ' Grenache', ' Mourvedre', ' Cinsault', ' Vaccareze', ' ']", 13%
122,"Domaine de Cristia
Châteauneuf-du-Pape Renaissance 2020",2020,$99.99,85%;,38.6655%;,12.9217%;,40.9537%;,https://images.vivino.com/thumbs/u9ZMuobLS9W9oXTM59HRpA_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.3,"[['Winery', 'Domaine de Cristia'], ['Grapes', 'Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '15%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Dark violet color with thick reflections. Dark intense purple coulouring denoting a rich and generous body. Beautiful aromatic intensity on the nose, exhaling complex notes of', 'Roasted coffee, licorice, stone fruit (cherry) and leather aromas. Complex bouquet of roasted coffee, liquorice, cherry and hints of leather. The attack in mouth and frank and powerful and marked by the taste of Black fruit (blackcurrant), zan and spices (black pepper). Powerful straightforward taste in the mouth with dark fruit (blackcurrant), spicy (Black pepper) and zan aromas.']]", Domaine de Cristia,red,"[' Grenache', ' ']", 15%
